<<<<<<< HEAD
ネットワークから姿勢データを得るまでの時間は　 : 0.028058290481567383秒
Denormalizedが終了するまでの時間は         : 3.147125244140625e-05秒
tf_publisherが終了するまでの時間は         : 0.0277559757232666秒
37ループ目の処理時間は    　                : 0.06187844276428223秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006667375564575195秒
getNormalizedPcdの処理時間は  　　　    　: 0.0006101131439208984秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03218817710876465秒
Denormalizedが終了するまでの時間は         : 2.9802322387695312e-05秒
tf_publisherが終了するまでの時間は         : 0.0258176326751709秒
38ループ目の処理時間は    　                : 0.06534647941589355秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005721569061279297秒
getNormalizedPcdの処理時間は  　　　    　: 0.0008046627044677734秒
ネットワークから姿勢データを得るまでの時間は　 : 0.04907703399658203秒
Denormalizedが終了するまでの時間は         : 5.745887756347656e-05秒
tf_publisherが終了するまでの時間は         : 0.04554939270019531秒
39ループ目の処理時間は    　                : 0.10125875473022461秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006552696228027344秒
getNormalizedPcdの処理時間は  　　　    　: 0.00043320655822753906秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02581000328063965秒
Denormalizedが終了するまでの時間は         : 2.9087066650390625e-05秒
tf_publisherが終了するまでの時間は         : 0.1018526554107666秒
40ループ目の処理時間は    　                : 0.1347064971923828秒


点群が入力されてopen3dへ変換するまでの時間は : 0.006659984588623047秒
getNormalizedPcdの処理時間は  　　　    　: 0.0010564327239990234秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02555537223815918秒
Denormalizedが終了するまでの時間は         : 5.2928924560546875e-05秒
tf_publisherが終了するまでの時間は         : 0.027405977249145508秒
41ループ目の処理時間は    　                : 0.0607905387878418秒


点群が入力されてopen3dへ変換するまでの時間は : 0.02052450180053711秒
getNormalizedPcdの処理時間は  　　　    　: 0.0009949207305908203秒
ネットワークから姿勢データを得るまでの時間は　 : 0.07805657386779785秒
Denormalizedが終了するまでの時間は         : 3.24249267578125e-05秒
tf_publisherが終了するまでの時間は         : 0.031194448471069336秒
42ループ目の処理時間は    　                : 0.13095784187316895秒


点群が入力されてopen3dへ変換するまでの時間は : 0.004944562911987305秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005726814270019531秒
ネットワークから姿勢データを得るまでの時間は　 : 0.025346755981445312秒
Denormalizedが終了するまでの時間は         : 4.6253204345703125e-05秒
tf_publisherが終了するまでの時間は         : 0.024900436401367188秒
43ループ目の処理時間は    　                : 0.055891990661621094秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007419109344482422秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004057884216308594秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02270674705505371秒
Denormalizedが終了するまでの時間は         : 3.7670135498046875e-05秒
tf_publisherが終了するまでの時間は         : 0.021550416946411133秒
44ループ目の処理時間は    　                : 0.05214738845825195秒


点群が入力されてopen3dへ変換するまでの時間は : 0.004838705062866211秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004668235778808594秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03137612342834473秒
Denormalizedが終了するまでの時間は         : 2.4080276489257812e-05秒
tf_publisherが終了するまでの時間は         : 0.02531743049621582秒
45ループ目の処理時間は    　                : 0.06204843521118164秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007357597351074219秒
getNormalizedPcdの処理時間は  　　　    　: 0.0004246234893798828秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02421259880065918秒
Denormalizedが終了するまでの時間は         : 5.2928924560546875e-05秒
tf_publisherが終了するまでの時間は         : 0.0266115665435791秒
46ループ目の処理時間は    　                : 0.0586850643157959秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005812883377075195秒
getNormalizedPcdの処理時間は  　　　    　: 0.00057220458984375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.024617671966552734秒
Denormalizedが終了するまでの時間は         : 9.441375732421875e-05秒
tf_publisherが終了するまでの時間は         : 0.03500175476074219秒
47ループ目の処理時間は    　                : 0.06613779067993164秒


点群が入力されてopen3dへ変換するまでの時間は : 0.004779338836669922秒
getNormalizedPcdの処理時間は  　　　    　: 0.0003254413604736328秒
ネットワークから姿勢データを得るまでの時間は　 : 0.029198408126831055秒
Denormalizedが終了するまでの時間は         : 2.9802322387695312e-05秒
tf_publisherが終了するまでの時間は         : 0.09992361068725586秒
48ループ目の処理時間は    　                : 0.1343076229095459秒


点群が入力されてopen3dへ変換するまでの時間は : 0.008185148239135742秒
getNormalizedPcdの処理時間は  　　　    　: 0.00043702125549316406秒
ネットワークから姿勢データを得るまでの時間は　 : 0.02980947494506836秒
Denormalizedが終了するまでの時間は         : 5.7697296142578125e-05秒
tf_publisherが終了するまでの時間は         : 0.023690223693847656秒
49ループ目の処理時間は    　                : 0.06220293045043945秒


点群が入力されてopen3dへ変換するまでの時間は : 0.014104127883911133秒
getNormalizedPcdの処理時間は  　　　    　: 0.001430511474609375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.07642531394958496秒
Denormalizedが終了するまでの時間は         : 5.030632019042969e-05秒
tf_publisherが終了するまでの時間は         : 0.027986526489257812秒
50ループ目の処理時間は    　                : 0.12008452415466309秒


点群が入力されてopen3dへ変換するまでの時間は : 0.007372140884399414秒
getNormalizedPcdの処理時間は  　　　    　: 0.0006949901580810547秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03238964080810547秒
Denormalizedが終了するまでの時間は         : 3.504753112792969e-05秒
tf_publisherが終了するまでの時間は         : 0.02915477752685547秒
51ループ目の処理時間は    　                : 0.06968092918395996秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005242347717285156秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005269050598144531秒
ネットワークから姿勢データを得るまでの時間は　 : 0.028722524642944336秒
Denormalizedが終了するまでの時間は         : 8.702278137207031e-05秒
tf_publisherが終了するまでの時間は         : 0.027849197387695312秒
52ループ目の処理時間は    　                : 0.0624544620513916秒


点群が入力されてopen3dへ変換するまでの時間は : 0.014123678207397461秒
getNormalizedPcdの処理時間は  　　　    　: 0.0011851787567138672秒
ネットワークから姿勢データを得るまでの時間は　 : 0.05100297927856445秒
Denormalizedが終了するまでの時間は         : 3.2901763916015625e-05秒
tf_publisherが終了するまでの時間は         : 0.029091835021972656秒
53ループ目の処理時間は    　                : 0.09551525115966797秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005806684494018555秒
getNormalizedPcdの処理時間は  　　　    　: 0.0006465911865234375秒
ネットワークから姿勢データを得るまでの時間は　 : 0.026653051376342773秒
Denormalizedが終了するまでの時間は         : 3.838539123535156e-05秒
tf_publisherが終了するまでの時間は         : 0.02658867835998535秒
54ループ目の処理時間は    　                : 0.05976581573486328秒


点群が入力されてopen3dへ変換するまでの時間は : 0.005455493927001953秒
getNormalizedPcdの処理時間は  　　　    　: 0.0005295276641845703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.026362895965576172秒
Denormalizedが終了するまでの時間は         : 4.6253204345703125e-05秒
tf_publisherが終了するまでの時間は         : 0.1668412685394287秒
55ループ目の処理時間は    　                : 0.19928765296936035秒


点群が入力されてopen3dへ変換するまでの時間は : 0.01485300064086914秒
getNormalizedPcdの処理時間は  　　　    　: 0.0025954246520996094秒
ネットワークから姿勢データを得るまでの時間は　 : 0.03650498390197754秒
Denormalizedが終了するまでの時間は         : 5.364418029785156e-05秒
tf_publisherが終了するまでの時間は         : 0.025466442108154297秒
56ループ目の処理時間は    　                : 0.07957172393798828秒


>>>>>>> 6f3d7368e49d7dca3b13a971d2f0923aa25730d0
